univ,titre,annee,nom,prenom,domaine,lang,type,nbPages,url,l2,Diff_12
Concordia,?ucation artistique et technologie de la mobilit? des moyens d'engagement civique et acad?ique pour les jeunes ?risque.,2013,Lalonde,Martin,Éducation / Pédagogie,en,maîtrise,234,https://spectrum.library.concordia.ca/977266/,fr,Diff
UdeM,'Are We Now Equal?' Recent experiences and perceptions of South American migrants in Argentina under MERCOSUR,2012,Recalde,Aranzazu,Anthropologie,en,doctorat,325,http://hdl.handle.net/1866/9055,en,
UdeM,"""A Most Weird Dialectic of Inversion"" : revolutionary fraternity, sexuality and translation in Pierre Vallières and Eldridge Cleaver",2013,Burton,William M.,Lettres et littérature,en,maîtrise,110,http://hdl.handle.net/1866/10672,en,
UQAM,"""Connect nothing"" : Leonard Cohen's Beautiful Losers, Tsangnyön Heruka's The Life of Milarepa and Vajrayana Buddhism",2019,Weissfelner,Mark,Sciences des religions,en,maîtrise,171,https://archipel.uqam.ca/12795/,en,
Laval,"""Everything was designed to make sure that this thing endured"" : processus de légitimation et la responsabilité de protéger",2016,Bélanger-Vincent,Ariane,Anthropologie,fr,doctorat,301,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26938?mode=full,en,Diff
UQAM,"""I'm not English, I just speak it"" : Quebecers and second language motivation",2012,?,?,Linguistique,fr,maîtrise,128,http://www.archipel.uqam.ca/5660/,en,Diff
UQAM,"""It's like I told you"" : essays on the economic analysis of interpersonal communication",2012,?,?,Gestion,en,doctorat,190,http://www.archipel.uqam.ca/5072/,en,
UQAM,"""Near enough to be neighbors yet strange enough to be the goal of our pilgrimage"" : tourisme, consommation et représentations identitaires dans la péninsule gaspésienne (1929-1966)",2017,Archambault,Jacinthe,Histoire,fr,doctorat,347,https://archipel.uqam.ca/9429/,en,Diff
UQAM,"""Newark will have money to spend!"" : émeutes, logement social et ghettoïsation des afro-américains, 1934-1967",2019,Vallée-Payette,Jonathan,Histoire,en,maîtrise,152,https://archipel.uqam.ca/13483/,fr,Diff
UdeM,"""Procalcitonine et protéine C-réactive comme marqueurs des infections bactériennes : une revue systématique et une méta-analyse""",2003,Simon,Liliana,Sciences biomédicales,en,maîtrise,151,http://hdl.handle.net/1866/14177,fr,Diff
UdeS,"""Rare Poems Ask Rare Friends"" : Literary Circles and Cultural Capital : The Case of Montreal's Jubilate Circle",2014,Frédette,Julie,Lettres et littérature,en,doctorat,259,https://savoirs.usherbrooke.ca/handle/11143/94,en,
Laval,"""Sensor-in-fibre"" optical probes for molecular sensing in the gastrointestinal tract of murine models",2019,Azzi,Victor,Physique,en,maîtrise,130,https://corpus.ulaval.ca/jspui/handle/20.500.11794/37631?mode=full,en,
Concordia,"""Sous les balles des troupes fédérales"" : representing the Quebec Ciry riots in francophone Quebec (1919-2009)",2009,Young,Chris,Histoire,en,maîtrise,135,https://spectrum.library.concordia.ca/976611/,fr,Diff
UdeM,"""Staying Alive"" while ""Living the Life"" : conceptualizations of risk among homeless youth",2010,MacDonald,Sue-Ann,Travail social,en,doctorat,464,http://hdl.handle.net/1866/4276,en,
UdeM,"""The nothing that is"" : An Ethics of Absence Within the Poetry of Wallace Stevens",2012,Skibsrud,Johanna Elisabeth,Lettres et littérature,en,doctorat,320,http://hdl.handle.net/1866/8420,en,
UdeS,"""They're Coming!"" Invasion and Manichaeism in Post-World-War-Two Literature in the United States and Quebec by Oliver Lange, Orson Scott Card, Mary Jane Engh, Paul Chamberland, Hubert Aquin and Claude Jasmin",2015,Desbiens-Brassard,Alexandre,Chimie,fr,maîtrise,140,https://savoirs.usherbrooke.ca/handle/11143/6877,en,Diff
UQAM,"""To be in the institution but not of it"" : tentatives et réflexions pour une histoire queer de l'art, en compagnie d'Andrea Geyer, de Rashid Johnson et de Sherrie Levine",2017,Dumaine Allard,Philippe,Histoire de l'art,fr,maîtrise,140,https://archipel.uqam.ca/10588/,en,Diff
Concordia,"""Xhuyaa Qaagaangaas"" : traduction et retraductions d'un récit haïda",2004,Cardinal,Philippe,Lettres et littérature,en,maîtrise,95,https://spectrum.library.concordia.ca/8186/,fr,Diff
UdeS,“Acid-spike” effect in spurs/tracks of the low/high linear energy transfer radiolysis of water : potential implications for radiobiology and nuclear industry,2016,Kanike,Vanaja,Chimie,en,maîtrise,177,https://savoirs.usherbrooke.ca/handle/11143/9711,en,
UdeM,“All work and no play … ?” : a critical investigation of an emerging public health discourse on children’s play,2013,Alexander,Stephanie,Santé publique,en,doctorat,430,http://hdl.handle.net/1866/10528,en,
UdeM,"“I Do This, You Do That:” mass consumption and subversive protopolitics in Frank O’Hara’s poetry",2016,Germain,Gabriel,Lettres et littérature,en,maîtrise,106,http://hdl.handle.net/1866/18332,en,
UdeM,“This wasn’t supposed to happen” : making sense of emotions in the face of expectation breach,2012,Berner,Nili,Communication,en,maîtrise,87,http://hdl.handle.net/1866/8957,en,
UdeM,"“WARES”, a Web Analytics Recommender System",2017,Sedliar,Kostiantyn,Communication,en,maîtrise,126,http://hdl.handle.net/1866/20694,en,
Concordia,« Écrire » une traduction,2013,Sacui Catrinescu,Mona,Lettres et littérature,en,maîtrise,112,https://spectrum.library.concordia.ca/977741/,fr,Diff
Concordia,« Vive le Québec cidre ! » : le paysage social cidricole québécois. Une ethnographie alcoologique.,2018,Detolle,Anais,Sociologie,en,doctorat,267,https://spectrum.library.concordia.ca/985059/,fr,Diff
McGill,"«La marque du maître»: Messiaen's influence on Québécois composers Serge Garant, Clermont Pépin and André Prévost",2011,White,Heather Noelle,Arts de la scène et de l'écran,en,doctorat,294,https://escholarship.mcgill.ca/concern/theses/4b29b641g,fr,Diff
Concordia,(R)Évolution tranquille : influence des technologies de diffusion sonore numériques sur l'esthétique cinématographique,2005,Tremblay,François-Xavier,Arts de la scène et de l'écran,en,maîtrise,166,https://spectrum.library.concordia.ca/8861/,fr,Diff
Laval,[(IMes)₂Pt(H)(Cl)]-borabenzene adducts : synthesis and reactivity of complexes containing a Pt-Cl-B interaction with borabenzene,2010,Barnes,Stéphanie S.,Chimie,en,maîtrise,156,https://corpus.ulaval.ca/jspui/handle/20.500.11794/21391?mode=full,en,
Concordia,¬La figure de l’Irlandais au Québec : perspectives historiques et littéraires (1815-1922),2014,Leduc,Jean-Marc,Lettres et littérature,en,maîtrise,158,https://spectrum.library.concordia.ca/978462/,fr,Diff
UdeM,14-3-3zeta is required for PKA-dependent lipolysis in mature adipocytes,2019,Oppong,Abel,Sciences biomédicales,en,maîtrise,91,http://hdl.handle.net/1866/23674,en,
UdeM,14-3-3ζ overexpression improves tolerance to acute and chronic cold exposure in male mice,2019,Diallo,Kadidia,Sciences biomédicales,en,maîtrise,129,http://hdl.handle.net/1866/23660,en,
Poly,2D and 3D Verification an Validation of the Lattice Boltzmann Method,2015,Portinari,Matteo,Génie mécanique,en,maîtrise,129,https://publications.polymtl.ca/1927/,en,
ÉTS,2D ice trajectory in the flow field of Joukowski airfoil,2018,Kamousi Alamdari,Mahdi,Génie mécanique,en,maîtrise,139,https://espace.etsmtl.ca/id/eprint/2106/,en,
Poly,3D Full Field Displacement and Strain Measurements at the Microscale in Fiber Reinforced Composites Under Transverse Load Using Digital Image Correlation,2018,Tabiai,Ilyass,Génie mécanique,en,doctorat,156,https://publications.polymtl.ca/3796/,en,
UdeS,3D integration of single electron transistors in the Back-End-Of-Line of 28 nm CMOS technology for the development of ultra-low power sensors,2016,Ayadi,Yosri,Chimie,en,doctorat,258,https://savoirs.usherbrooke.ca/handle/11143/10122,en,
Poly,"3D Interlock Composites Multi-Scale Viscoelastic Model Development, Characterization and Modeling",2018,Courtois,Alice,Génie mécanique,en,doctorat,137,https://publications.polymtl.ca/3178/,en,
Laval,3D modeling of large elongated structures for non-destructive testing and inspection,2017,Hesabi,Somayeh,Génie électrique,en,doctorat,127,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27640?mode=full,en,
Poly,3D Numerical Modeling of Transient Conditions in Francis Turbines,2016,Hosseinimanesh,Hossein,Génie mécanique,en,doctorat,151,https://publications.polymtl.ca/2104/,en,
Poly,3D Printing of Multifunctional Chitosan-Based Hydrogels and Nanocomposites,2018,Wu,Qinghua,Génie chimique ou physique,en,doctorat,133,https://publications.polymtl.ca/3176/,en,
ÉTS,3D reconstruction of coronary artery using Feldkamp-Davis-Kress algorithm,2017,Tran,Phan Binh,Génie informatique,en,maîtrise,83,https://espace.etsmtl.ca/id/eprint/2069/,en,
Poly,3D Stochastic Inversion and Joint Inversion of Potential Fields for Multi Scale Parameters,2011,Shamsipour,Pejman,Géologie et génie minier,en,doctorat,174,https://publications.polymtl.ca/657/,en,
Laval,3D visualization of cadastre : assessing the suitability of visual variables and enhancement techniques in the 3D model of condominium property units,2015,Wang,Chen,Géographie / océanographie,en,doctorat,164,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26546?mode=full,en,
Poly,3D Visualization of Microvascular Networks Using Magnetic Particles: Application to Magnetic Resonance Navigation,2015,Olamaei,Nina,Génie biomédical,en,doctorat,168,https://publications.polymtl.ca/1691/,en,
ÉTS,3D-modeling and simulation of transport and physicochemical transformations in a high pressure turbine of an aircraft engine,2018,Nguyen,Trung Hieu,Génie,en,doctorat,136,https://espace.etsmtl.ca/id/eprint/2078/,en,
UdeM,"A (dis)play of traces : trauma, witnessing, and the poetics of implication",2012,Aloui,Bachar,Lettres et littérature,en,doctorat,318,http://hdl.handle.net/1866/8507,en,
UQAC,A 2-D random walk model for predicting ice accretion on a cylindrical conductor + : Modélisation en 2-D de l'accumulation de glace sur un conducteur cylindrique par la méthode du cheminement aléatoire ,2001,Chen,Yongmin,Génie,en,maîtrise,82,https://constellation.uqac.ca/897/,fr,Diff
Laval,A Bayesian approach to Hybrid Choice models,2010,Alvarez Daziano,Ricardo,Économie,en,doctorat,220,https://corpus.ulaval.ca/jspui/handle/20.500.11794/21606?mode=full,en,
Laval,A bio-coke for anode production and the manufacturing method thereof,2014,Hussein,Asem,Géologie et génie minier,en,maîtrise,82,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27056?mode=full,en,
UdeM,A brain-computer interface for navigation in virtual reality,2013,Alchalabi,Bilal,Génie biomédical,en,maîtrise,111,http://hdl.handle.net/1866/9999,en,
INRS,A broadband direct-demodulator based on nolen matrix for 5G wireless communication systems.,2019,Shafah,Esam Abdusalam,Génie électrique,en,maîtrise,100,http://espace.inrs.ca/id/eprint/8453/,en,
UQAM,"A case study on Design for disassembly, its application in building design and potential for component reuse and material recycling to mitigate construction waste",2020,Sadraee,Susan,Arts visuels,en,maîtrise,169,https://archipel.uqam.ca/13822/,en,
UdeM,A Categorical Framework for the Specification and the Verification of Aspect Oriented Systems,2012,Sabas,Arsène,Informatique,en,doctorat,285,http://hdl.handle.net/1866/9041,en,
UdeM,A class of bivariate Erlang distributions and ruin probabilities in multivariate risk models,2012,Groparu-Cojocaru,Ionica,Mathématiques,en,doctorat,215,http://hdl.handle.net/1866/8947,en,
Poly,"A Class of Networked Multi-Agent Control Systems: Interference Induced Games, Filtering, Nash Equilibria",2017,Abedinpour Fallah,Mehdi,Génie électrique,en,doctorat,149,https://publications.polymtl.ca/2523/,en,
Poly,A CMOS 90nm Digital Pixel Sensor Intended for a Visual Cortical Stimulator,2010,Ghannoum,Roula,Génie électrique,en,maîtrise,178,https://publications.polymtl.ca/273/,en,
INRS,A CMOS compatible ferroelectric tunnel junction memory device.,2018,Ambriz Vargas,Fabian,Génie,en,doctorat,153,http://espace.inrs.ca/id/eprint/7874/,en,
INRS,"A comparative assessment of hydrologic models of varying complexity applied to a semi-­arid region (Sardinia, Italy). for climate change studies",2018,Perra,Enrica,Géographie / océanographie,en,doctorat,182,http://espace.inrs.ca/id/eprint/7588/,en,
Laval,A comparative study of feminisms in the writings of Jane Austen and Mary Wollstonecraft,2012,Tessier,Marie-Hélène,Lettres et littérature,en,maîtrise,111,https://corpus.ulaval.ca/jspui/handle/20.500.11794/24138?mode=full,en,
UdeS,"A comparative study of secular accounts ot the apocalypse in four contemporary novels : -- Kurt Vonnegut's Galapagos, The Road by Cormac McCarthy -- Nicolas Dickner's Tarmac, and Les larmes de saint Laurent by Dominique Fortier",2013,Dahl,Eric N.,Biologie,en,maîtrise,131,https://savoirs.usherbrooke.ca/handle/11143/6501,en,
UdeM,"A comparative study of the resilience of coal logistics chains in Australia, South Africa and Canada",2012,Benyahia,Sefiane,Géographie / océanographie,en,maîtrise,147,http://hdl.handle.net/1866/8680,en,
UQAC,A comparative study on decision-making methodology,2020,Wu,Zhen,Génie,en,doctorat,121,https://constellation.uqac.ca/5754/,en,
UdeM,"A comparative study on the ""Safe Country of Origin"" principle between the European Union and Canadian asylum legislations",2016,Zarghamifar,Mina,Droit,en,maîtrise,204,http://hdl.handle.net/1866/18633,en,
UdeM,A comparison between DNA-DNA checkerboard hybridization and culture techniques for the detection of Candida species in denture stomatitis,2017,Khiyani,Muhammad Faheem,Médecine dentaire,en,maîtrise,152,http://hdl.handle.net/1866/21475,en,
Poly,A Comparison Between Linear Programming and Simulation Models for a Dispacthing System in Open Pit Mines,2013,Faraji,Razieh,Génie industriel,en,maîtrise,93,https://publications.polymtl.ca/1205/,en,
UQAM,A comparison of past epidemics through conditional survival functions,2017,Sepidband,Parastoo,Mathématiques,en,maîtrise,112,https://archipel.uqam.ca/9653/,en,
UdeM,A Compiler for the dependently typed language Beluga,2012,Ferreira Ruiz,Francisco,Informatique,en,maîtrise,97,http://hdl.handle.net/1866/8676,en,
Poly,A Comprehensive Review of Vertical Ground Heat Exchangers Sizing Models With Suggested Improvements,2018,Ahmadfard,Mohammadamin,Génie mécanique,en,doctorat,227,https://publications.polymtl.ca/3034/,en,
UdeM,A computational fluid dynamic study on the filtering mechanics in suspension feeding marine invertebrates,2013,Vo,Maureen,Biologie,en,maîtrise,117,http://hdl.handle.net/1866/10738,en,
Laval,A conceptual framework and a risk management approach for interoperability between geospatial datacubes,2010,Sboui,Tarek,Géographie / océanographie,en,doctorat,247,https://corpus.ulaval.ca/jspui/handle/20.500.11794/21584?mode=full,en,
UdeM,A consistent test of independence between random vectors,2016,Boglioni Beaulieu,Guillaume,Mathématiques,en,maîtrise,194,http://hdl.handle.net/1866/18773,en,
ÉTS,A contribution to online tool wear detection using deep learning methodology,2020,Aghazadehkouzekonani,Fatemeh,Génie,en,doctorat,142,https://espace.etsmtl.ca/id/eprint/2606/,en,
Laval,A contribution to the evaluation and optimization of networks reliability,2011,Rebaiaia,Mohamed-Larbi,Génie mécanique,en,doctorat,207,https://corpus.ulaval.ca/jspui/handle/20.500.11794/22923?mode=full,en,
UQAC,A corpus study of the verbal communication of empathy/sympathy by anglophone nurses in Quebec,2014,Lapointe,Stéphanie,Linguistique,en,maîtrise,81,https://constellation.uqac.ca/2969/,en,
ÉTS,"A D3M methodology for the integration of students' survey results with teachers' perspectives, based on objective, subjective and semantic measures",2016,Alejandro Molina,Otilia Maria,Génie,en,doctorat,272,https://espace.etsmtl.ca/id/eprint/1711/,en,
Poly,A Delay-Constrained Middleware Architecture for Disseminating Information in Wireless Sensor Networks,2011,Llano Ruiz,Jhon Fredy,Génie informatique,en,maîtrise,115,https://publications.polymtl.ca/516/,en,
Poly,A Depth-Averaged Numerical Model for Simulating Heat and Fluid Flows in Vegetated Channels,2012,Moradi Larmaei,Mohammad,Génie civil,en,doctorat,273,https://publications.polymtl.ca/932/,en,
Poly,A Design Process Using Topology Optimization Applied to Flat Pressurized Stiffened Panels,2014,Dugré,Alexis,Génie mécanique,en,maîtrise,133,https://publications.polymtl.ca/1475/,en,
UdeM,A detailed assessment of adverse perioperative outcomes of the elderly treated with radical cystectomy for bladder cancer,2011,Liberman,Daniel,Sciences biomédicales,en,maîtrise,62,http://hdl.handle.net/1866/10283,en,
UdeM,A detailed study of the lithiation of iron phosphate as well as the development of a novel synthesis of lithium iron silicate as cathode material for lithium-ion batteries,2011,Galoustov,Karen,Chimie,en,maîtrise,92,http://hdl.handle.net/1866/5875,en,
UQAC,"A detection method of metallic impurities (V, Ni, Fe) in coke and carbon anodes and their effect on anode reactivity",2017,Sun,Hang,Génie,en,maîtrise,122,https://constellation.uqac.ca/4513/,en,
UQAM,A Dirichlet mixture model-based approach for identifying spammers in online social networks,2015,Fathaliani,Farnoosh,Informatique,en,maîtrise,80,https://archipel.uqam.ca/7921/,en,
ÉTS,A dissimilarity representation approach to designing systems for signature verification and bio-cryptography,2014,Ekladious,George S. Eskander,Génie,en,doctorat,212,https://espace.etsmtl.ca/id/eprint/1326/,en,
ÉTS,A DO-178C-compliant model-driven approach to support the development and certification of safety-critical avionics software,2020,Paz Loboguerrero,Andrés Felipe,Génie,en,doctorat,414,https://espace.etsmtl.ca/id/eprint/2484/,en,
UdeM,A dyadic perspective on genito-pelvic pain : trauma antecedents and treatment effectiveness,2016,Corsini-Munt,Serena,Psychologie,en,doctorat,290,http://hdl.handle.net/1866/16043,en,
Poly,A Dynamic Messaging Architecture for Vehicular Social Networks,2016,Maaroufi,Saida,Génie informatique,en,doctorat,130,https://publications.polymtl.ca/2059/,en,
Poly,A Dynamic Metabolomic Study of Lipid Production in Chlorella Protothecoides,2017,Ren,Xiaojie,Génie chimique ou physique,en,doctorat,164,https://publications.polymtl.ca/2582/,en,
UdeM,A dynamic sequential route choice model for micro-simulation,2012,Morin,Léonard Ryo,Informatique,en,maîtrise,72,http://hdl.handle.net/1866/9829,en,
ÉTS,"A flexible, genuine software for the simulation and sizing of photovoltaic pumping systems",2020,Lunel,Tanguy,Génie,en,maîtrise,100,https://espace.etsmtl.ca/id/eprint/2541/,en,
Laval,A fluid-structure interaction partitioned algorithm applied to flexible flapping wing propulsion,2014,Olivier,Mathieu,Génie mécanique,en,doctorat,280,https://corpus.ulaval.ca/jspui/handle/20.500.11794/25395?mode=full,en,
Laval,A forest management decision support system for sustainable management of flammable boreal forest landscapes : an integrated policy approach to timber harvest planning,2017,Rijal,Baburam,Sciences forestières,en,doctorat,180,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27722?mode=full,en,
Poly,A Forward On-The-Fly Approach for Safety and Reachability Controller Synthesis of Timed Systems,2012,Heidari,Parisa,Génie informatique,en,doctorat,140,https://publications.polymtl.ca/979/,en,
ÉTS,A framework for ancient and machine-printed manuscripts categorization,2018,Arabnejad,Ehsan,Génie,en,doctorat,163,https://espace.etsmtl.ca/id/eprint/2067/,en,
Poly,A Framework for the Performance Analysis and Simulation of RF-Mesh Advanced Metering Infrastructures for Smart Grid Applications,2016,Malandra,Filippo,Génie électrique,en,doctorat,157,https://publications.polymtl.ca/2422/,en,
UQAM,A framework to study the potential benefits of using high-resolution regional climate model simulations,2011,?,?,Géographie / océanographie,en,doctorat,160,http://www.archipel.uqam.ca/4384/,en,
Poly,A Functional Reasoning Framework and Dependency Modeling Scheme for Mechatronics Conceptual Design Support,2015,Haddad,Elie,Génie mécanique,en,maîtrise,72,https://publications.polymtl.ca/2006/,en,
UQAC,A fuzzy temporal data-mining model for activity recognition in smart homes ,2013,Amirjavid,Farzad,Sciences et technologies des aliments,en,doctorat,223,https://constellation.uqac.ca/2684/,en,
UdeM,A game theoretical model for a collaborative e-learning platform on privacy awareness,2020,Yusri,Rita,Informatique,en,maîtrise,101,http://hdl.handle.net/1866/24338,en,
UQAM,A general filter for stretched-grid models,2011,?,?,Environnement,fr,doctorat,179,http://www.archipel.uqam.ca/4352/,en,Diff
UQAM,"A generalisation of property ""R""",2013,?,?,Mathématiques,en,doctorat,160,http://www.archipel.uqam.ca/5767/,en,
UdeM,A Generalization of a Theorem of Boyd and Lawton,2012,Issa,Zahraa,Mathématiques,en,maîtrise,83,http://hdl.handle.net/1866/8745,en,
ÉTS,A generic decision support model for analysing the sustainable integration of new products : an application to the forest value chain,2018,Lapointe Pelletier,Louis-Alexandre,Génie,en,maîtrise,164,https://espace.etsmtl.ca/id/eprint/2089/,en,
Poly,A Geometric Approach to Converting CAD Models to CAM Models: an Application on Aeronautical Structure Parts,2012,Lu,Hua,Génie mécanique,en,doctorat,214,https://publications.polymtl.ca/1062/,en,
Poly,A goal-oriented finite element method and its extension to pgd reduced-order modeling,2018,Kergrene,Kenan,Mathématiques,en,doctorat,126,https://publications.polymtl.ca/3753/,en,
UdeM,A Hauntology of Sheila Watson's The Double Hook,2019,Brubacher,William,Lettres et littérature,en,maîtrise,90,http://hdl.handle.net/1866/23722,en,
UdeM,A heuristic algorithm for the Capacitated Vehicle Routing Problem with Synchronized Pick-ups and Drop-offs : a case study for medications delivery and supervision in DR Congo,2015,Clarke,John,Informatique,en,maîtrise,88,http://hdl.handle.net/1866/13467,en,
Poly,A Heuristic-Based Approach to Locate Concepts in Execution Traces,2010,Asadi,Fatemeh,Génie informatique,en,maîtrise,133,https://publications.polymtl.ca/337/,en,
ÉTS,A high-voltage multi-purpose on-the-fly reconfigurable half-bridge gate driver for GaN HEMTs in 0.18-μm HV SOI CMOS technology,2020,Ly,Nam,Génie électrique,en,maîtrise,112,https://espace.etsmtl.ca/id/eprint/2572/,en,
UdeM,A historical case study analysis of the establishment of charismatic leadership in a Protestant Reformation cultic group and its role in the recourse to violence,2011,Hofmann,David C.,Sociologie,en,maîtrise,145,http://hdl.handle.net/1866/5896,en,
UdeM,A hypoxia response element in the Vegfa promoter is required for basal Vegfa expression in skin and for optimal granulation tissue formation during wound healing in mice,2016,Ciarlillo,Domenic,Sciences vétérinaires,en,maîtrise,78,http://hdl.handle.net/1866/19161,en,
ÉTS,A joint analysis of coding schemes and relay deployment for energy efficient cellular networks,2015,Parzysz,Fanny,Génie,en,doctorat,229,https://espace.etsmtl.ca/id/eprint/1516/,en,
ÉTS,A knowledge base system for overall supply chain performance evaluation : a multi-criteria decision-making approach,2018,Khan,Sharfuddin Ahmed,Génie,en,doctorat,266,https://espace.etsmtl.ca/id/eprint/2074/,en,
Concordia,À l’origine d’un malaise : L’équivocité au cœur des œuvres de Yannick Pouliot,2011,Darveau,Jessica,Histoire de l'art,en,maîtrise,60,https://spectrum.library.concordia.ca/35827/,fr,Diff
Concordia,À la recherche de L'Île perdue,2015,Stenson,Edmund,Arts de la scène et de l'écran,en,maîtrise,106,https://spectrum.library.concordia.ca/980333/,fr,Diff
Poly,A Label Free CMOS-Based Smart Petri Dish for Cellular Analysis,2016,Nabovati Khormazard,Ghazal,Génie électrique,en,doctorat,152,https://publications.polymtl.ca/2372/,en,
UdeM,A layered JavaScript virtual machine supporting dynamic instrumentation,2013,Lavoie,Erick,Informatique,en,maîtrise,73,http://hdl.handle.net/1866/9995,en,
Concordia,A letter from Puduhepa Queen of Hatti to Ramses II Pharaoh of Egypt (KUB 21.38 = CTH 176),2007,Czyzewska,Izabella,Programme individualisé,en,maîtrise,190,https://spectrum.library.concordia.ca/975808/,en,Diff
UdeM,"A lexical semantic study of Dene Suliné, an Athabaskan language",2010,Holden,Joshua,Linguistique,en,doctorat,368,http://hdl.handle.net/1866/4616,en,
Poly,A Location Routing Protocol Based on Smart Antennas for Wireless Sensor Networks,2010,Polo,Nelly,Génie informatique,en,maîtrise,103,https://publications.polymtl.ca/319/,en,
UdeM,"A longitudinal study of overweight during childhood : etiology, mental health outcomes and mediating factors",2014,Pryor,Laura Elizabeth,Santé publique,en,doctorat,270,http://hdl.handle.net/1866/12103,en,
UQAM,"A low-dimensional hillslope-based catchment model for layered groundwater flow : conceptual development, testing, and application",2011,?,?,Géographie / océanographie,fr,doctorat,131,http://www.archipel.uqam.ca/3967/,en,Diff
Laval,A Machine Learning Approach for the Smart Charging of Electric Vehicles,2019,Lopez,Karol Lina,Génie électrique,fr,doctorat,120,https://corpus.ulaval.ca/jspui/handle/20.500.11794/34741?mode=full,en,Diff
McGill,A map of clouds,2015,Michaud,Mathieu,Arts de la scène et de l'écran,fr,maîtrise,143,https://escholarship.mcgill.ca/concern/theses/qn59q7146,en,Diff
Poly,A Mathematical Programming Framework for Network Capacity Control in Customer Choice-Based Revenue Management,2014,Hosseinalifam,Morad,Génie industriel,en,doctorat,102,https://publications.polymtl.ca/1525/,en,
ÉTS,A maximum likelihood approach to video error correction applied to H.264 decoding,2013,Caron,François,Génie,en,doctorat,259,https://espace.etsmtl.ca/id/eprint/1219/,en,
Poly,A Mechanical and Economical Study on the Incorporation of Anti-Microbial Anodized Aluminum in Cooling Towers,2019,Nossovitch,Alexis,Génie mécanique,en,maîtrise,115,https://publications.polymtl.ca/4043/,en,
UdeM,A mechanism for co-transcriptional recruitment of mRNA localization factor on nascent mRNAs in budding yeast,2010,Shen,Zhi Fa,Biochimie,en,doctorat,236,http://hdl.handle.net/1866/4123,en,
UdeM,A Mediated Presence : Uncovering Nietzsche in Art History from its Foundations to Contemporary Anglo-American Curricula,2015,Vansier,Natalie,Histoire de l'art,en,maîtrise,132,http://hdl.handle.net/1866/13654,en,
Laval,A microfluidic system for localised growth of biofilms and studies of realated biochemical kinetics,2014,Babaei Aznaveh,Nahid,Chimie,en,maîtrise,81,https://corpus.ulaval.ca/jspui/handle/20.500.11794/25355?mode=full,en,
UdeM,"A mitochondrial perspective on striated muscle physiopathology: insights from sepsis, denervation, and dystrophinopathies",2013,Godin,Richard,Sciences de l'activité physique,en,doctorat,223,http://hdl.handle.net/1866/10334,en,
UdeM,A mixed method review and quality criteria analysis : towards improving decision aids and informing care models in prenatal testing,2016,Diadori,Paola,Informatique,en,maîtrise,163,http://hdl.handle.net/1866/19461,en,
Poly,A Mixed-Integer Programming Model for an In-Pit Crusher Conveyor Location Problem,2017,Jimenez Builes,Carlos Andres,Géologie et génie minier,en,maîtrise,105,https://publications.polymtl.ca/2928/,en,
Poly,A Model for Software Quality Evaluation Using the User's Point of Views,2017,Mirsalari,Seyed Reza,Génie informatique,en,doctorat,212,https://publications.polymtl.ca/2813/,en,
Poly,A Modeling Framework for the Nonlinear Dynamics Analysis and Optimization of Electrical Stimulation Protocols,2014,Krouchev,Nedialko,Génie biomédical,en,doctorat,257,https://publications.polymtl.ca/1581/,en,
UdeM,A Mono- and Multi-objective Approach for Recommending Software Refactoring,2014,Ouni,Ali,Informatique,en,doctorat,245,http://hdl.handle.net/1866/11613,en,
UQAM,A morpho-syntactic analysis of Marshallese determiner phrases,2012,?,?,Linguistique,en,maîtrise,90,http://www.archipel.uqam.ca/4685/,en,
Poly,A Multi-Sector Planning Support Model for en Route Air Traffic Control,2017,Hassan,Mohamed Ossama,Génie industriel,en,doctorat,188,https://publications.polymtl.ca/2941/,en,
Poly,A Multidisciplinary Perspective About Decision Making Under Uncertain and Risky Situations: an Application to Entrepreneurship,2016,Mondin,Christophe,Génie industriel,en,maîtrise,230,https://publications.polymtl.ca/2271/,en,
Poly,A New 3D Artefact For Five-Axis Machine Tool Coordinate Measuring Performance,2017,Hashemiboroujeni,Heidarali,Génie industriel,en,maîtrise,57,https://publications.polymtl.ca/2673/,en,
UQAC,A new approach for electric modeling of vertical axis wind turbine rotors in view to the construction of a global electric model for the wind energy conversion system / Nouvelle approche de modélisation électrique des rotors d’éoliennes à axe vertical en vue de la construction d’un modèle électrique global de la chaine de conversion éolienne,2019,Tchakoua Takoutsing,Pierre,Génie,en,doctorat,168,https://constellation.uqac.ca/5135/,fr,Diff
UQAC,A new approach to dynamic difficulty adjustment in video games ,2011,Tremblay,Jonathan,Informatique,en,maîtrise,109,https://constellation.uqac.ca/2165/,en,
Poly,A New Definition of the Representative Volument Element in Numerical Homogenization Problems and its Application to the Performance Evaluation of Analytical Homogenization Models.,2013,Moussaddy,Hadi,Génie mécanique,en,doctorat,120,https://publications.polymtl.ca/1091/,en,
ÉTS,A new domain specific language for generating and validating middleware configurations for highly available applications,2015,Turenne,Maxime,Génie informatique,en,maîtrise,92,https://espace.etsmtl.ca/id/eprint/1563/,en,
