univ,titre,annee,nom,prenom,domaine,lang,type,nbPages,url,l2,Diff_12
INRS,Regulation and characterization of the ATP-binding cassette transporter-B1 in the epididymis and epididymal spermatozoa of the rat,2010,Jones,Steven R.,Sciences cliniques et de la santé,en,maîtrise,118,http://espace.inrs.ca/id/eprint/224/,en,
UdeS,Régulation de l'apoptose des lymphocytes T par GIMAP5 (GTPase of Immune Associated Nucleotide Binding Protein 5),2015,Chen,Xi Lin,Chimie,en,doctorat,147,https://savoirs.usherbrooke.ca/handle/11143/7593,en,
UdeM,Régulation de l'hepcidine et le rôle de la lipocaline 2 dans l'homéostasie du fer / Novel insights into the regulation of hepcidin and the role of lipocalin 2 in iron homeostasis,2013,Huang,Hua,Sciences biomédicales,en,doctorat,146,http://hdl.handle.net/1866/11191,en,
UdeS,Régulation de l’immunogénicité tumorale et activation des lymphocytes cytotoxiques anti-tumoraux pour l’immunothérapie du cancer,2017,Rodriguez,Galaxia Maria,Chimie,en,doctorat,211,https://savoirs.usherbrooke.ca/handle/11143/11224,fr,Diff
UdeS,Régulation de la mort cellulaire par GIMAP5 (GTPase of the immune associated protein family) dans les lymphocytes T du rat,2007,Keita,Mamadou,Virologie et immunologie,fr,maîtrise,72,https://savoirs.usherbrooke.ca/handle/11143/3924,en,Diff
UdeS,Régulation de la signalisation du récepteur MET par la protéine SOCS1 dans le carcinome hépatocellulaire,2014,Gui,Yirui,Mathématiques,en,doctorat,143,https://savoirs.usherbrooke.ca/handle/11143/5390,fr,Diff
UdeS,Régulation du rôle potentiellement oncogénique de p21[Indice supérieur Cip1/Waf1] par SOCS1 dans le foie,2015,Yeganeh,Mehdi,Chimie,en,doctorat,197,https://savoirs.usherbrooke.ca/handle/11143/6072,fr,Diff
UdeM,Régulation et rôle de la ligase de l'ubiquitine Itch dans la signalisation cellulaire,2008,Azakir,Bilal Ahmad,Biologie,en,doctorat,253,http://hdl.handle.net/1866/6603,fr,Diff
UdeM,Regulation of BAP1 tumor suppressor complex by post-translational modifications,2014,Mashtalir,Nazar,Sciences biomédicales,en,doctorat,241,http://hdl.handle.net/1866/12772,en,
UdeM,Regulation of cholesterol intake by the corpus luteum,2010,Miranda,Leonor,Sciences vétérinaires,en,doctorat,184,http://hdl.handle.net/1866/3947,en,
UdeM,Regulation of excitotoxicity in thiamine deficiency : role of glutamate transporters,2012,Jhala,Shivraj,Sciences biomédicales,en,doctorat,214,http://hdl.handle.net/1866/9720,en,
UdeM,Regulation of gene expression in the dinoflagellate Lingulodinium polyedrum,2013,Roy,Sougata,Biologie,en,doctorat,332,http://hdl.handle.net/1866/10516,en,
Laval,"Regulation of glutamatergic neurotransmission, synaptic plasticity, sleep and behavior by D2-GSK3B-FXR1",2020,Khlghatyan,Jivan,Neuroscience,en,doctorat,276,https://corpus.ulaval.ca/jspui/handle/20.500.11794/38090?mode=full,en,
UdeM,Regulation of intestinal cholesterol transport and metabolism by high glucose levels = Régulation intestinale du transport et du métabolisme du cholestérol par le glucose,2008,Ravid Leibovici,Rosa Zaava,Médecine,en,maîtrise,118,http://hdl.handle.net/1866/8213,fr,Diff
Laval,Regulation of kinetochore localization of the Spindle checkpoint kinase Bub1,2016,Asghar,Adeel,Microbiologie / immunologie,en,doctorat,165,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27706?mode=full,en,
UdeM,Regulation of lipid metabolism in adipocytes and hepatocytes by hexarelin through scavenger receptor CD36,2011,Rodrigue-Way,Amélie,Biochimie,en,doctorat,300,http://hdl.handle.net/1866/5998,en,
UdeM,Regulation of lipocalin prostaglandin-D synthase expression by interleukin-1β in human chondrocytes,2015,Esmael,Mostafa,Microbiologie / immunologie,en,maîtrise,113,http://hdl.handle.net/1866/13855,en,
Laval,Regulation of mitotic BubR1 phosphorylation by the BubR1 pseudokinase domain,2015,Mathieu,Michelle,Microbiologie / immunologie,en,maîtrise,78,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27062?mode=full,en,
UdeS,Regulation of osteoclast activation and autophagy through altered protein kinase pathways in Paget's disease of bone,2016,McManus,Stephen,Chimie,en,doctorat,248,https://savoirs.usherbrooke.ca/handle/11143/8960,en,
UdeM,Regulation of sinoatrial node and pacemaking mechanisms in health and disease,2016,El Khoury,Nabil,Physiologie,en,doctorat,224,http://hdl.handle.net/1866/18569,en,
UdeM,Regulation of the Early Growth Response Protein-1 in vascular smooth muscle cells,2016,Simo Cheyou,Estelle Rolande,Nutrition,en,doctorat,196,http://hdl.handle.net/1866/19027,en,
UdeM,"Regulation of the inositol 1,4,5-trisphosphate receptor 1 (IP3R1) by microRNA-26a in atrial fibrillation",2020,Vahdatihassani,Faezeh,Sciences biomédicales,en,maîtrise,97,http://hdl.handle.net/1866/24707,en,
Laval,Regulation of transcription elongation factors SPT2 and SPT6 by casein kinase II,2013,Bhat,Abdul Wajid,Microbiologie / immunologie,en,doctorat,224,https://corpus.ulaval.ca/jspui/handle/20.500.11794/24254?mode=full,en,
UdeM,"Rehabilitation professionals’ attitudes and beliefs towards chronic pain : a scoping review, consultation and survey",2016,Morin Chabane,Sabrina,Sciences de l'activité physique,en,maîtrise,151,http://hdl.handle.net/1866/18354,en,
UdeM,Rehaussement de la mémoire de travail et de l'inhibition de la douleur par la neuromodulation du cortex préfrontal dorsolatéral gauche chez des personnes jeunes et âgées = Improving working memory and pain inhibition using neuromodulation of left dorsolateral prefrontal cortex in young and older persons,2019,Deldar,Zoha,Sciences biomédicales,fr,doctorat,208,http://depot-e.uqtr.ca/id/eprint/9220/,fr,Diff
UdeM,Relating Dependent Terms in Information Retrieval,2015,Shi,Lixin,Informatique,en,doctorat,162,http://hdl.handle.net/1866/13716,en,
Laval,Relations between microstructural development and rheological properties in polymer nanocomposites,2013,Mahi Hassanabadi,Hojjat,Génie chimique ou physique,en,doctorat,194,https://corpus.ulaval.ca/jspui/handle/20.500.11794/24532?mode=full,en,
